Velocity/(rpm),Current/(A),Current/(A),Current/(A),Angle/(rad),Angle/(rad),Tem/(Nm),Current/(A),Current/(A),Current/(A),Current/(A),Force/(N),Force/(N),Force/(N),Force/(N),Displacement/(um),Displacement/(um),Velocity/(m/s),Velocity/(m/s),Angle/(rad)
0.000000,0.000000,0.000000,0.000000,0.130900,0.130900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000137,0.000000,-0.000105,0.000000,-0.000011,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.130900,0.130900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000548,0.000000,-0.000421,0.000000,-0.000021,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.130900,0.130900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001233,0.000000,-0.000948,0.000000,-0.000032,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.130900,0.130900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002193,0.000000,-0.001687,0.000000,-0.000042,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.130900,0.130900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003431,0.000000,-0.002639,0.000000,-0.000053,0.000000,0.000000
0.002589,0.000000,2.333767,0.000000,0.130900,0.130900,0.001276,0.000000,0.000000,0.000000,0.000000,0.044865,0.000000,-0.004947,0.000000,-0.003805,0.000000,-0.000064,0.000000,-0.104720
0.165123,0.000000,4.485982,0.000000,0.130900,0.130900,0.004716,0.000000,0.000000,0.000000,0.000000,0.044865,0.000000,-0.006743,0.000000,-0.005187,0.000000,-0.000075,0.000000,-0.104720
0.723009,0.000000,6.470742,0.000000,0.130901,0.130901,0.009812,0.000000,0.000000,0.000000,0.000000,0.044865,0.000000,-0.008822,0.000000,-0.006786,0.000000,-0.000085,0.000000,-0.104720
1.810795,0.000000,8.301005,0.000000,0.130903,0.130903,0.016148,0.000000,0.000000,0.000000,0.000000,0.044865,0.000000,-0.011187,0.000000,-0.008605,0.000000,-0.000096,0.000000,-0.104720
3.527770,0.000000,9.988676,0.000000,0.130909,0.130909,0.023382,0.000000,0.000000,0.000000,0.000000,0.044865,0.000000,-0.013841,0.000000,-0.010647,0.000000,-0.000108,0.000000,-0.104720
5.944357,0.000000,11.544688,0.000000,0.130919,0.130919,0.031234,0.000000,0.000000,0.000000,0.000000,0.141411,0.000000,-0.016788,0.000000,-0.012914,0.000000,-0.000119,0.000000,-0.104720
9.107449,0.000000,12.979082,0.000000,0.130935,0.130935,0.039477,0.000000,0.000000,0.000000,0.000000,0.141411,0.000000,-0.020031,0.000000,-0.015408,0.000000,-0.000131,0.000000,-0.104720
13.044860,0.000000,14.301082,0.000000,0.130958,0.130958,0.047928,0.000000,0.000000,0.000000,0.000000,0.141411,0.000000,-0.023575,0.000000,-0.018135,0.000000,-0.000142,0.000000,-0.104720
17.699901,0.000000,14.921687,0.000000,0.130990,0.130990,0.052177,0.000000,0.000000,0.000000,0.000000,0.141411,0.000000,-0.027426,0.000000,-0.021097,0.000000,-0.000154,0.000000,-0.104720
22.467440,0.000000,14.921453,0.000000,0.131033,0.131033,0.052174,0.000000,0.000000,0.000000,0.000000,0.141411,0.000000,-0.031588,0.000000,-0.024298,0.000000,-0.000166,0.000000,-0.104720
27.237493,0.000000,15.040961,0.000000,0.131085,0.131085,0.053011,0.000000,0.000000,0.000000,0.000000,0.253365,0.000000,-0.036066,0.000000,-0.027743,0.000000,-0.000178,0.000000,-0.104720
32.019269,0.000000,15.036820,0.000000,0.131147,0.131147,0.052980,0.000000,0.000000,0.000000,0.000000,0.253365,0.000000,-0.040868,0.000000,-0.031437,0.000000,-0.000191,0.000000,-0.104720
36.802243,0.000000,14.910826,0.000000,0.131219,0.131219,0.052093,0.000000,0.000000,0.000000,0.000000,0.253365,0.000000,-0.045999,0.000000,-0.035384,0.000000,-0.000204,0.000000,-0.104720
41.579984,0.000000,15.026437,0.000000,0.131302,0.131302,0.052901,0.000000,0.000000,0.000000,0.000000,0.253365,0.000000,-0.051467,0.000000,-0.039590,0.000000,-0.000217,0.000000,-0.104720
46.361051,0.000000,15.019565,0.000000,0.131394,0.131394,0.052850,0.000000,0.000000,0.000000,0.000000,0.253365,0.000000,-0.057280,0.000000,-0.044061,0.000000,-0.000230,0.000000,-0.104720
51.130718,0.000000,14.892633,0.000000,0.131496,0.131496,0.051962,0.000000,0.000000,0.000000,0.000000,0.384569,0.000000,0.379850,0.231242,-0.048626,0.000098,-0.000226,0.000010,-0.104720
55.900178,0.000000,15.006296,0.000000,0.131609,0.131609,0.052754,0.000000,0.000000,0.000000,0.000000,0.384569,0.000000,0.370111,0.205743,-0.053118,0.000373,-0.000223,0.000017,-0.104720
60.682857,0.000000,15.117217,0.000000,0.131731,0.131731,0.053528,0.000000,0.000000,0.000000,0.000000,0.384569,0.000000,-0.097881,-0.085805,-0.057551,0.000794,-0.000220,0.000024,-0.104720
65.457534,0.000000,14.866302,0.000000,0.131863,0.131863,0.051766,0.000000,0.000000,0.000000,0.000000,0.384569,0.000000,0.340575,0.152008,-0.061940,0.001333,-0.000218,0.000030,-0.104720
70.224162,0.000000,14.977226,0.000000,0.132006,0.132006,0.052536,0.000000,0.000000,0.000000,0.000000,0.384569,0.000000,0.332025,0.130992,-0.066297,0.001964,-0.000218,0.000033,-0.104720
75.002410,0.000000,15.085596,0.000000,0.132158,0.132158,0.053294,0.000000,0.000000,0.000000,0.000000,0.466136,-0.033389,0.320823,0.099941,-0.070570,0.002700,-0.000211,0.000039,-0.104720
79.775910,0.000000,14.832506,0.000000,0.132320,0.132320,0.051515,0.000000,0.000000,0.000000,0.000000,0.466136,-0.033389,0.300474,0.068869,-0.074719,0.003539,-0.000205,0.000044,-0.104720
84.541584,0.000000,14.940552,0.000000,0.132493,0.132493,0.052262,0.000000,0.000000,0.000000,0.000000,0.466136,-0.033389,0.290495,0.041500,-0.078758,0.004450,-0.000200,0.000047,-0.104720
89.310153,0.000000,15.046943,0.000000,0.132675,0.132675,0.053003,0.000000,0.000000,0.000000,0.000000,0.466136,-0.033389,0.279320,0.009277,-0.082683,0.005415,-0.000192,0.000050,-0.104720
94.082398,0.000000,15.031687,0.000000,0.132867,0.132867,0.052889,0.000000,0.000000,0.000000,0.000000,0.466136,-0.033389,0.264387,-0.026189,-0.086419,0.006451,-0.000182,0.000053,-0.104720
98.848415,0.000000,14.896743,0.000000,0.133070,0.133070,0.051948,0.000000,0.000000,0.000000,0.000000,0.474659,-0.080208,0.699995,0.205017,-0.089968,0.007530,-0.000173,0.000054,-0.104720
103.613889,0.000000,15.000295,0.000000,0.133282,0.133282,0.052654,0.000000,0.000000,0.000000,0.000000,0.474659,-0.080208,0.237689,-0.087714,-0.093345,0.008618,-0.000165,0.000054,-0.104720
108.380794,0.000000,15.102436,0.000000,0.133504,0.133504,0.053366,0.000000,0.000000,0.000000,0.000000,0.474659,-0.080208,0.227764,-0.118229,-0.096564,0.009683,-0.000157,0.000052,-0.104720
113.150742,0.000000,14.844952,0.000000,0.133736,0.133736,0.051564,0.000000,0.000000,0.000000,0.000000,0.474659,-0.080208,0.661615,0.119562,-0.099636,0.010694,-0.000150,0.000049,-0.104720
117.908522,0.000000,14.946305,0.000000,0.133979,0.133979,0.052253,0.000000,0.000000,0.000000,0.000000,0.474659,-0.080208,0.202247,-0.168111,-0.102575,0.011624,-0.000144,0.000044,-0.104720
122.670871,0.000000,15.045715,0.000000,0.134231,0.134231,0.052942,0.000000,0.000000,0.000000,0.000000,0.447490,-0.100842,0.193953,-0.194569,-0.105391,0.012445,-0.000138,0.000038,-0.104720
127.438310,0.000000,15.024321,0.000000,0.134493,0.134493,0.052791,0.000000,0.000000,0.000000,0.000000,0.447490,-0.100842,0.640842,0.048467,-0.108095,0.013133,-0.000133,0.000031,-0.104720
132.195737,0.000000,14.884849,0.000000,0.134765,0.134765,0.051798,0.000000,0.000000,0.000000,0.000000,0.447490,-0.100842,0.171859,-0.235586,-0.110696,0.013663,-0.000128,0.000022,-0.104720
136.948441,0.000000,14.982124,0.000000,0.135047,0.135047,0.052467,0.000000,0.000000,0.000000,0.000000,0.447490,-0.100842,0.164901,-0.258981,-0.113205,0.014012,-0.000123,0.000013,-0.104720
141.710221,0.000000,15.076996,0.000000,0.135339,0.135339,0.053124,0.000000,0.000000,0.000000,0.000000,0.447490,-0.100842,0.158257,-0.281672,-0.115628,0.014162,-0.000118,0.000002,-0.104720
146.473827,0.000000,14.934181,0.000000,0.135641,0.135641,0.052112,0.000000,0.000000,0.000000,0.000000,0.427056,-0.066388,0.144934,-0.307480,-0.117893,0.014133,-0.000109,-0.000006,-0.104720
151.226967,0.000000,14.910182,0.000000,0.135953,0.135953,0.051934,0.000000,0.000000,0.000000,0.000000,0.427056,-0.066388,0.134733,-0.334210,-0.119975,0.013918,-0.000100,-0.000016,-0.104720
155.977765,0.000000,15.003056,0.000000,0.136275,0.136275,0.052572,0.000000,0.000000,0.000000,0.000000,0.427056,-0.066388,0.127409,-0.362597,-0.121884,0.013489,-0.000092,-0.000028,-0.104720
160.729511,0.000000,15.094479,0.000000,0.136607,0.136607,0.053203,0.000000,0.000000,0.000000,0.000000,0.427056,-0.066388,0.120572,-0.390146,-0.123630,0.012817,-0.000084,-0.000040,-0.104720
165.486486,0.000000,14.949460,0.000000,0.136949,0.136949,0.052179,0.000000,0.000000,0.000000,0.000000,0.427056,-0.066388,0.564738,-0.150146,-0.125216,0.011880,-0.000074,-0.000053,-0.104720
170.230463,0.000000,14.922701,0.000000,0.137301,0.137301,0.051975,0.000000,0.000000,0.000000,0.000000,0.394247,0.010467,0.289614,0.274215,-0.126667,0.010879,-0.000072,-0.000047,-0.104720
174.975696,0.000000,15.011498,0.000000,0.137663,0.137663,0.052578,0.000000,0.000000,0.000000,0.000000,0.394247,0.010467,-0.175568,-0.021197,-0.128073,0.009978,-0.000069,-0.000043,-0.104720
179.725160,0.000000,15.098417,0.000000,0.138034,0.138034,0.053185,0.000000,0.000000,0.000000,0.000000,0.394247,0.010467,0.543853,-0.244456,-0.129443,0.009144,-0.000067,-0.000040,-0.104720
184.477245,0.000000,14.951060,0.000000,0.138416,0.138416,0.052132,0.000000,0.000000,0.000000,0.000000,0.394247,0.010467,0.263658,0.188672,-0.130786,0.008346,-0.000067,-0.000039,-0.104720
189.219993,0.000000,14.920645,0.000000,0.138808,0.138808,0.051902,0.000000,0.000000,0.000000,0.000000,0.394247,0.010467,-0.201562,-0.102481,-0.132112,0.007557,-0.000066,-0.000040,-0.104720
